,Model,AIC_train,BIC_train,R-squared_train,MAE_train,RMSE_train
0,SVR,3163.3493885901,3165.964509106941,-0.06183869485260218,4599524.303656456,6263467.4656140525
1,RF,2766.9870059156033,2769.6021264324445,0.9790240346380985,553660.5885148514,880332.0851267951
2,MLP,2840.485569515282,2843.100690032123,0.9565728063713584,746258.8095980721,1266678.6037238876
3,RNN,3137.3106064912563,3139.9257270080975,0.17947237502417257,3123451.7277227724,5505948.637026555
4,LSTM,3252.575730036823,3255.1908505536644,-1.5687801757201711,8661003.05785891,9742020.129327057
